Customer_Id,Surname,Age,Gender,Estimated_Salary
15634602,Hargrave,42,Female,101348.88
15647311,Hill,41,Female,112542.58
15619304,Onio,42,Female,113931.57
15701354,Boni,39,Female,93826.63
15737888,Mitchell,43,Female,79084.1
15574012,Chu,44,Male,149756.71
15592531,Bartlett,50,Male,10062.8
15656148,Obinna,29,Female,119346.88
15792365,He,44,Male,74940.5
15592389,H?,27,Male,71725.73
15767821,Bearce,31,Male,80181.12
15737173,Andrews,24,Male,76390.01
15632264,Kay,34,Female,26260.98
15691483,Chin,25,Female,190857.79
15600882,Scott,35,Female,65951.65
15643966,Goforth,45,Male,64327.26
15737452,Romeo,58,Male,5097.67
15788218,Henderson,24,Female,14406.41
15661507,Muldrow,45,Male,158684.81
15568982,Hao,24,Female,54724.03
15577657,McDonald,41,Male,170886.17
15597945,Dellucci,32,Female,138555.46
15699309,Gerasimov,38,Female,118913.53
15725737,Mosman,46,Male,8487.75
15625047,Yen,38,Female,187616.16
15738191,Maclean,25,Male,124508.29
15736816,Young,36,Male,170041.95
15700772,Nebechi,44,Male,38433.35
15728693,McWilliams,43,Female,100187.43
15656300,Lucciano,29,Male,53483.21
15589475,Azikiwe,39,Female,140469.38
15706552,Odinakachukwu,36,Male,156731.91
15750181,Sanderson,41,Male,81898.81
15659428,Maggard,42,Female,34410.55
15732963,Clements,29,Female,142033.07
15794171,Lombardo,45,Female,27822.99
15788448,Watson,31,Male,114066.77
15729599,Lorenzo,33,Male,98453.45
15717426,Armstrong,36,Male,40812.9
15585768,Cameron,41,Male,178074.04
15619360,Hsiao,40,Male,70154.22
15738148,Clarke,51,Female,181297.65
15687946,Osborne,61,Female,94153.83
15755196,Lavine,49,Female,194365.76
15684171,Bianchi,61,Female,158338.39
15754849,Tyler,32,Female,126517.46
15602280,Martin,27,Female,119708.21
15771573,Okagbue,39,Female,117622.8
15766205,Yin,38,Male,90878.13
15771873,Buccho,37,Female,194099.12
15616550,Chidiebele,44,Male,198059.16
15768193,Trevisani,36,Male,86424.57
15683553,O'Brien,33,Female,116978.19
15702298,Parkhill,41,Male,164040.94
15569590,Yoo,42,Male,40014.76
15760861,Phillipps,43,Male,113410.49
15630053,Tsao,45,Male,87107.57
15647091,Endrizzi,19,Male,45613.75
15623944,T'ien,66,Female,1643.11
15804771,Velazquez,51,Male,46775.28
15651280,Hunter,35,Male,84509.57
15773469,Clark,27,Female,126494.82
15702014,Jeffrey,33,Male,178798.13
15751208,Pirozzi,56,Male,99398.36
15592461,Jackson,26,Male,92840.67
15789484,Hammond,36,Female,27758.36
15696061,Brownless,34,Female,110431.51
15641582,Chibugo,43,Male,196673.28
15638424,Glauert,35,Female,113656.85
15755648,Pisano,21,Female,18203
15703793,Konovalova,58,Male,28373.86
15620344,McKee,29,Male,33953.87
15812518,Palermo,37,Female,44203.55
15779052,Ballard,25,Female,58426.81
15770811,Wallace,36,Male,145562.4
15780961,Cavenagh,21,Female,22388
15614049,Hu,55,Male,139161.64
15662085,Read,32,Female,148210.64
15575185,Bushell,33,Male,194239.63
15803136,Postle,41,Female,98301.61
15706021,Buley,34,Female,171413.66
15663706,Leonard,32,Female,136458.19
15641732,Mills,36,Female,26019.59
15701164,Onyeorulu,34,Female,159235.29
15738751,Beit,46,Female,1907.66
15805254,Ndukaku,75,Female,114675.75
15762418,Gant,22,Male,128643.35
15625759,Rowley,30,Male,151869.35
15622897,Sharpe,46,Female,93251.42
15767954,Osborne,28,Female,156791.36
15757535,Heap,44,Female,174205.22
15731511,Ritchie,45,Male,147132.46
15809248,Cole,36,Female,109614.57
15640635,Capon,29,Male,172290.61
15676966,Capon,42,Male,85982.47
15699461,Fiorentini,35,Male,121277.78
15738721,Graham,41,Male,64595.25
15693683,Yuille,29,Male,197276.13
15604348,Allard,22,Male,99645.04
15633059,Fanucci,34,Male,6534.18
