CustomerId,Surname,Gender,Age,EstimatedSalary
15634602,Hargrave,Female,42,101348.88
15647311,Hill,Female,41,112542.58
15619304,Onio,Female,42,113931.57
15701354,Boni,Female,39,93826.63
15737888,Mitchell,Female,43,79084.1
15574012,Chu,Male,44,149756.71
15592531,Bartlett,Male,50,10062.8
15656148,Obinna,Female,29,119346.88
15792365,He,Male,44,74940.5
15592389,H?,Male,27,71725.73
15767821,Bearce,Male,31,80181.12
15737173,Andrews,Male,24,76390.01
15632264,Kay,Female,34,26260.98
15691483,Chin,Female,25,190857.79
15600882,Scott,Female,35,65951.65
15643966,Goforth,Male,45,64327.26
15737452,Romeo,Male,58,5097.67
15788218,Henderson,Female,24,14406.41
15661507,Muldrow,Male,45,158684.81
15568982,Hao,Female,24,54724.03
15577657,McDonald,Male,41,170886.17
15597945,Dellucci,Female,32,138555.46
15699309,Gerasimov,Female,38,118913.53
15725737,Mosman,Male,46,8487.75
15625047,Yen,Female,38,187616.16
15738191,Maclean,Male,25,124508.29
15736816,Young,Male,36,170041.95
15700772,Nebechi,Male,44,38433.35
15728693,McWilliams,Female,43,100187.43
15656300,Lucciano,Male,29,53483.21
15589475,Azikiwe,Female,39,140469.38
15706552,Odinakachukwu,Male,36,156731.91
15750181,Sanderson,Male,41,81898.81
15659428,Maggard,Female,42,34410.55
15732963,Clements,Female,29,142033.07
15794171,Lombardo,Female,45,27822.99
15788448,Watson,Male,31,114066.77
15729599,Lorenzo,Male,33,98453.45
15717426,Armstrong,Male,36,40812.9
15585768,Cameron,Male,41,178074.04
15619360,Hsiao,Male,40,70154.22
15738148,Clarke,Female,51,181297.65
15687946,Osborne,Female,61,94153.83
15755196,Lavine,Female,49,194365.76
15684171,Bianchi,Female,61,158338.39
15754849,Tyler,Female,32,126517.46
15602280,Martin,Female,27,119708.21
15771573,Okagbue,Female,39,117622.8
15766205,Yin,Male,38,90878.13
15771873,Buccho,Female,37,194099.12
15616550,Chidiebele,Male,44,198059.16
15768193,Trevisani,Male,36,86424.57
15683553,O'Brien,Female,33,116978.19
15702298,Parkhill,Male,41,164040.94
15569590,Yoo,Male,42,40014.76
15760861,Phillipps,Male,43,113410.49
15630053,Tsao,Male,45,87107.57
15647091,Endrizzi,Male,19,45613.75
15623944,T'ien,Female,66,1643.11
15804771,Velazquez,Male,51,46775.28
15651280,Hunter,Male,35,84509.57
15773469,Clark,Female,27,126494.82
15702014,Jeffrey,Male,33,178798.13
15751208,Pirozzi,Male,56,99398.36
15592461,Jackson,Male,26,92840.67
15789484,Hammond,Female,36,27758.36
15696061,Brownless,Female,34,110431.51
15641582,Chibugo,Male,43,196673.28
15638424,Glauert,Female,35,113656.85
15755648,Pisano,Female,21,18203.0
15703793,Konovalova,Male,58,28373.86
15620344,McKee,Male,29,33953.87
15812518,Palermo,Female,37,44203.55
15779052,Ballard,Female,25,58426.81
15770811,Wallace,Male,36,145562.4
15780961,Cavenagh,Female,21,22388.0
15614049,Hu,Male,55,139161.64
15662085,Read,Female,32,148210.64
15575185,Bushell,Male,33,194239.63
15803136,Postle,Female,41,98301.61
15706021,Buley,Female,34,171413.66
15663706,Leonard,Female,32,136458.19
15641732,Mills,Female,36,26019.59
15701164,Onyeorulu,Female,34,159235.29
15738751,Beit,Female,46,1907.66
15805254,Ndukaku,Female,75,114675.75
15762418,Gant,Male,22,128643.35
15625759,Rowley,Male,30,151869.35
15622897,Sharpe,Female,46,93251.42
15767954,Osborne,Female,28,156791.36
15757535,Heap,Female,44,174205.22
15731511,Ritchie,Male,45,147132.46
15809248,Cole,Female,36,109614.57
15640635,Capon,Male,29,172290.61
15676966,Capon,Male,42,85982.47
15699461,Fiorentini,Male,35,121277.78
15738721,Graham,Male,41,64595.25
15693683,Yuille,Male,29,197276.13
15604348,Allard,Male,22,99645.04
15633059,Fanucci,Male,34,6534.18
15808582,Fu,Female,40,161848.03
15743192,Hung,Female,44,167162.43
15580146,Hung,Male,31,41970.72
15776605,Bradley,Male,36,60536.56
15804919,Dunbabin,Female,65,177655.68
15613854,Mauldon,Female,46,30984.59
15599195,Stiger,Male,32,10054.53
15812878,Parsons,Female,36,36976.52
15602312,Walkom,Male,33,71862.79
15744689,T'ang,Male,35,99449.86
15803526,Eremenko,Male,30,63082.88
15665790,Rowntree,Male,39,27231.26
15715951,Thorpe,Male,42,86797.41
15591100,Chiemela,Male,36,22994.32
15609618,Fanucci,Male,28,101300.94
15675522,Ko,Female,30,74169.13
15705512,Welch,Female,37,115638.29
15698028,Duncan,Female,41,31766.3
15661670,Chidozie,Female,31,199725.39
15600781,Wu,Male,34,120834.48
15682472,Culbreth,Male,34,38131.77
15580203,Kennedy,Male,39,100130.95
15690673,Cameron,Female,39,141069.88
15760085,Calabresi,Female,48,198129.36
15779659,Zetticci,Female,28,183646.41
15627360,Fuller,Male,42,110265.24
15671137,MacDonald,Female,52,8636.05
15782688,Piccio,Male,56,46824.08
15575492,Kennedy,Female,41,171378.77
15591607,Fernie,Male,24,167256.35
15740404,He,Female,34,124226.16
15718369,Kaodilinakachukwu,Female,33,114935.21
15677871,Cocci,Male,38,35608.88
15642004,Alekseeva,Male,25,16459.37
15712543,Chinweike,Male,39,124411.08
15584518,Arthur,Female,50,34941.23
15802381,Li,Female,34,167784.28
15610156,Ma,Male,40,93165.34
15594408,Chia,Female,48,75161.25
15640905,Vasin,Female,35,8590.83
15698932,Groves,Male,44,189543.9
15724944,Tien,Male,34,180427.24
15628145,Forwood,Female,43,193318.33
15713483,Greeves,Male,52,159123.82
15612350,Taylor,Female,31,126213.84
15800703,Madukwe,Female,21,54141.5
15705707,Bennelong,Female,29,141075.51
15754105,Olisanugo,Male,37,24495.03
15703264,Chukwufumnanya,Male,44,74836.34
15794413,Harris,Male,32,878.87
15650237,Morgan,Female,32,89520.75
15759618,Alexeeva,Female,48,149892.79
15811589,Metcalfe,Male,42,180800.42
15689044,Humphries,Male,37,98646.22
15709368,Milne,Female,43,109041.53
15679145,Chou,Male,57,17941.16
15655007,Li,Female,33,82996.47
15623595,Clayton,Female,28,92067.35
15589975,Maclean,Female,73,104719.66
15804017,Chigolum,Female,33,112687.57
15692132,Wilkinson,Female,22,84699.56
15641122,Wei,Male,30,83473.82
15630910,Treacy,Female,49,47125.11
15680772,Hu,Female,36,106977.8
15658929,Taverner,Male,29,55582.54
15585388,Sherman,Male,31,139874.43
15724623,Taubman,Female,24,162503.48
15588537,Robinson,Female,41,196499.96
15574692,Pinto,Female,39,40721.24
15611325,Wood,Male,24,53134.3
15587562,Hawkins,Female,29,164017.89
15613172,Sun,Male,27,155996.96
15651022,Yost,Male,44,5472.7
15586310,Ting,Male,30,112187.11
15625524,Rowe,Male,40,146457.83
15755209,Fu,Female,35,27286.1
15645248,Ho,Female,30,130553.47
15790355,Okechukwu,Male,36,179351.89
15762615,Campbell,Female,40,94774.12
15625426,Ashbolt,Female,55,8080.85
15716334,Rozier,Female,45,19482.5
15789669,Hsia,Male,65,48071.61
15621075,Ogbonnaya,Female,45,174531.27
15810845,T'ang,Male,42,55470.78
15719377,Cocci,Female,50,8546.87
15654506,Chang,Male,32,95857.18
15771977,T'ao,Female,39,194945.8
15708710,Ford,Female,37,131521.72
15726676,Marshall,Male,30,196108.51
15587421,Tsai,Female,34,148564.76
15726931,Onwumelu,Female,41,92982.61
15771086,Graham,Female,36,17675.36
15756850,Golovanov,Male,40,114996.43
15702741,Potts,Male,32,86957.42
15679200,Crawford,Male,29,128077.8
15594815,Aleshire,Male,35,600.36
15635905,Moran,Female,32,43001.46
15777892,Samsonova,Male,37,158591.12
15656176,Jenkins,Male,57,47847.19
15811127,Volkov,Male,35,10488.44
15604482,Chiemezie,Male,30,5978.2
15622911,Jude,Male,42,121409.06
15600974,He,Male,50,146145.93
15727868,Onuora,Female,38,14374.86
15627801,Ginikanwa,Male,33,94670.77
15773039,Ku,Male,37,179670.31
15755262,McDonald,Female,41,199304.74
15679531,Collins,Male,34,151954.39
15684181,Hackett,Male,45,142513.5
15612087,Dike,Male,45,158264.62
15752047,Trevisano,Male,33,169381.9
15624592,Tan,Male,31,169915.02
15573152,Glassman,Female,41,88852.47
15594917,Miller,Female,34,40645.81
15785542,Kornilova,Male,26,60427.3
15723488,Watson,Male,47,157959.02
15680920,Marchesi,Male,46,133007.34
15786308,Millar,Female,33,176576.62
15659366,Shih,Male,43,34888.04
